property_id,serial_number,mac_address,ip_address,name,type,room,building,community,jack,Status,Reason Unable to Fix/Notes
A018163,BN0013131,000B86812383,10.151.137.42,slo-rw113-l101-1,5,L101,Lobby,Sierra Madre,W,Couldn't Fix,Upstream device not in Airwaves
A018164,BN0013081,000B86812289,10.151.137.43,slo-rw113-l101-2,2.4,L101,Lobby,Sierra Madre,X,Couldn't Fix,Upstream device not in Airwaves
A018165,BN0017422,000B86817752,10.151.137.44,slo-rw113-l102-1,2.4,L102,Lobby,Sierra Madre,W,Couldn't Fix,Upstream device not in Airwaves
A018166,BN0013132,000B86812388,10.151.137.45,slo-rw113-l203-1,5,L203,Lobby,Sierra Madre,W,Couldn't Fix,Upstream device not in Airwaves
A019062,BN0013597,000B86812C9D,10.151.137.48,slo-rw113-001p-1,2.4,1P,Tower 0,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019084,BN0013672,000B86812E14,10.151.138.44,slo-rw113-011p-1,2.4,1P,Tower 1,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019095,BN0014545,000B86813F21,10.151.139.44,slo-rw113-021p-1,2.4,1P,Tower 2,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019106,BN0013566,000B86812C02,10.151.140.44,slo-rw113-031p-1,2.4,1P,Tower 3,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A018826,BN0013726,000B86812F22,10.151.141.44,slo-rw113-041p-1,2.4,1P,Tower 4,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019011,BN0013555,000B86812BCB,10.151.142.43,slo-rw113-051p-1,2.4,1P,Tower 5,Sierra Madre,W,Couldn't Fix,Not in Airwaves
A019142,BN0047643,000B869D44EB,10.151.143.32,slo-rw114-001lr-1,5,1LR,Tower 0,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019159,BN0047404,000B869D4040,10.151.145.32,slo-rw114-021lr-1,5,1LR,Tower 2,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019176,BN0047817,000B869D4851,10.151.147.32,slo-rw114-041lr-1,5,1LR,Tower 4,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019184,BN0047776,000B869D4784,10.151.148.32,slo-rw114-051lr-1,5,1LR,Tower 5,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019201,BN0047551,000B869D431F,10.151.150.31,slo-rw114-071lr-1,2.4,1LR,Tower 7,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019219,BN0047597,000B869D4405,10.151.152.31,slo-rw114-091lr-1,2.4,1LR,Tower 9,Yosemite,W,Couldn't Fix,Couldn't find laundry rooms on the Yosemite floorplan.  What should we name these rooms to?
A019220,BN0047516,000B869D4270,10.151.143.33,slo-rw114-l101-1,2.4,L101,Lobby,Yosemite,W,Couldn't Fix,Upstream device not in Airwaves
A019221,BN0047604,000B869D4428,10.151.143.34,slo-rw114-l101-2,5,L101,Lobby,Yosemite,X,Couldn't Fix,Upstream device not in Airwaves
A019222,BN0047599,000B869D440F,10.151.143.35,slo-rw114-l102-1,2.4,L102,Lobby,Yosemite,W,Couldn't Fix,Upstream device not in Airwaves
A019414,BN0047753,000B869D4711,10.151.143.36,slo-rw114-0l201-1,5,L201,Lobby,Yosemite,W,Couldn't Fix,Upstream device not in Airwaves
A019415,BN0047748,000B869D46F8,10.151.143.37,slo-rw114-0l201-2,2.4,L201,Lobby,Yosemite,X,Couldn't Fix,Upstream device not in Airwaves
A019416,BN0047747,000B869D46F3,10.151.143.38,slo-rw114-0l202-1,2.4,L202,Lobby,Yosemite,W,Couldn't Fix,Upstream device not in Airwaves
A019417,BN0047752,000B869D470C,10.151.143.39,slo-rw114-0l203-1,2.4,L203,Lobby,Yosemite,W,Couldn't Fix,Upstream device not in Airwaves
A019418,BN0047750,000B869D4702,10.151.143.40,slo-rw114-0l203-2,5,L203,Lobby,Yosemite,X,Couldn't Fix,Upstream device not in Airwaves
A018366,BN0017612,000B86817B08,10.151.132.1,slo-rw105-100-1,2.4,100,Trinity,South Mountain,W,Couldn't Fix,Went out to check Trinity. Could not find APs. Suspect it doesn't exist.
A018385,BN0017895,000B8681808F,10.151.132.20,slo-rw105-200-1,2.4,200,Trinity,South Mountain,W,Couldn't Fix,Went out to check Trinity. Could not find APs. Suspect it doesn't exist.
A018408,BN0017735,000B86817D6F,10.151.132.43,slo-rw105-300-1,5,300,Trinity,South Mountain,W,Couldn't Fix,Went out to check Trinity. Could not find APs. Suspect it doesn't exist.
A019456,BN0047577,000B869D43A1,10.151.132.69,slo-rw105-100-1,5,100,Trinity,South Mountain,W,Couldn't Fix,Went out to check Trinity. Could not find APs. Suspect it doesn't exist.
A018432,BN0017687,000B86817C7F,10.151.133.1,slo-rw106-100-1,2.4,100,Santa Lucia,South Mountain,W,Couldn't Fix,Duplicate AP name
A018451,BN0017683,000B86817C6B,10.151.133.20,slo-rw106-104-1,5,104,Santa Lucia,South Mountain,W,Spreadsheet Amended,"Mismatched in Airwaves, shows up in port map"
A018474,BN0017946,000B8681818E,10.151.133.43,slo-rw106-300-1,5,300,Santa Lucia,South Mountain,W,Couldn't Fix,Not in Airwaves
A019464,BN0047584,000B869D43C4,10.151.133.69,slo-rw106-100-1,5,100,Santa Lucia,South Mountain,W,Couldn't Fix,Duplicate AP name
A018498,BN0017607,000B86817AEF,10.151.134.1,slo-rw107-100c-1,2.4,100C,Muir,South Mountain,W,Couldn't Fix,Not in Airwaves
A018517,BN0017795,000B86817E9B,10.151.134.20,slo-rw107-200-1,2.4,200,Muir,South Mountain,W,Couldn't Fix,Not in Airwaves
A019432,BN0045599,000B869D1CFF,10.151.134.69,slo-rw107-100-1,5,100,Muir,South Mountain,W,Couldn't Fix,Not in Airwaves
A018564,BN0017645,000B86817BAD,10.151.242.1,slo-rw108-100c-1,2.4,100C,Sequoia,South Mountain,W,Couldn't Fix,Not in Airwaves
A018583,BN0017772,000B86817E28,10.151.242.20,slo-rw108-200-1,2.4,200,Sequoia,South Mountain,W,Couldn't Fix,Not in Airwaves
A018606,BN0017890,000B86818076,10.151.242.43,slo-rw108-300-1,5,300,Sequoia,South Mountain,W,Couldn't Fix,Not in Airwaves
A019440,BN0047700,000B869D4608,10.151.242.69,slo-rw108-100-1,5,100,Sequoia,South Mountain,W,Couldn't Fix,Not in Airwaves
A018630,BN0017740,000B86817D88,10.151.135.1,slo-rw109-100c-1,2.4,100C,Fremont,South Mountain,W,Couldn't Fix,Not in Airwaves
A018649,BN0017583,000B86817A77,10.151.135.20,slo-rw109-200-1,2.4,200,Fremont,South Mountain,W,Couldn't Fix,Not in Airwaves
A018672,BN0017126,000B8681718A,10.151.135.43,slo-rw109-300-1,5,300,Fremont,South Mountain,W,Couldn't Fix,Not in Airwaves
A019482,BN0022668,000B8681DDC8,10.151.135.69,slo-rw109-100-1,5,100,Fremont,South Mountain,W,Couldn't Fix,Not in Airwaves
A019483,BN0021603,000B8681C8FB,10.151.135.70,slo-rw109-100l-1,2.4,100L,Fremont,South Mountain,W,Couldn't Fix,Not in Airwaves
A018696,BN0017954,000B868181B6,10.151.136.1,slo-rw110-100c-1,2.4,100C,Tenaya,South Mountain,W,Couldn't Fix,Went out to check Tenaya. Could not find APs. Suspect it doesn't exist.
A018715,BN0017750,000B86817DBA,10.151.136.20,slo-rw110-200-1,2.4,200,Tenaya,South Mountain,W,Couldn't Fix,Went out to check Tenaya. Could not find APs. Suspect it doesn't exist.
A018738,BN0017819,000B86817F13,10.151.136.43,slo-rw110-300-1,5,300,Tenaya,South Mountain,W,Couldn't Fix,Went out to check Tenaya. Could not find APs. Suspect it doesn't exist.
A019448,BN0047710,000B869D463A,10.151.136.69,slo-rw110-100-1,5,100,Tenaya,South Mountain,W,Couldn't Fix,Went out to check Tenaya. Could not find APs. Suspect it doesn't exist.
A009750,BN0017734,000B86817D6A,,joe spare ap,AM,,Dover,Poly Canyon Village,W,Couldn't Fix,Does not exist on airwaves
A019455,BN0047544,000B869D42FC,10.151.132.68,slo-rw105-100a-2,2.4,100A,Trinity,South Mountain,X,In CSV For Import,
A019459,BN0047607,000B869D4437,10.151.132.72,slo-rw105-100k-2,5,100K,Trinity,South Mountain,X,In CSV For Import,
A019460,BN0047578,000B869D43A6,10.151.132.73,slo-rw105-100k-3,2.4,100K,Trinity,South Mountain,Y,In CSV For Import,
A019463,BN0047586,000B869D43CE,10.151.133.68,slo-rw106-100a-2,2.4,100A,Santa Lucia,South Mountain,Y,In CSV For Import,
A019467,BN0047590,000B869D43E2,10.151.133.72,slo-rw106-100k-2,5,100K,Santa Lucia,South Mountain,X,In CSV For Import,
A019468,BN0047582,000B869D43BA,10.151.133.73,slo-rw106-100k-3,2.4,100K,Santa Lucia,South Mountain,Y,In CSV For Import,
A019431,BN0045609,000B869D1D31,10.151.134.68,slo-rw107-100a-2,2.4,100A,Muir,South Mountain,Y,In CSV For Import,
A019435,BN0045604,000B869D1D18,10.151.134.72,slo-rw107-100k-2,5,100K,Muir,South Mountain,X,In CSV For Import,
A019436,BN0045610,000B869D1D36,10.151.134.73,slo-rw107-100k-3,2.4,100K,Muir,South Mountain,Y,In CSV For Import,
A019439,BN0045614,000B869D1D4A,10.151.242.68,slo-rw108-100a-2,2.4,100A,Sequoia,South Mountain,Y,In CSV For Import,
A019443,BN0047706,000B869D4626,10.151.242.72,slo-rw108-100k-2,5,100K,Sequoia,South Mountain,X,In CSV For Import,
A019444,BN0047701,000B869D460D,10.151.242.73,slo-rw108-100k-3,2.4,100K,Sequoia,South Mountain,Y,In CSV For Import,
A019481,BN0022648,000B8681DD64,10.151.135.68,slo-rw109-100a-2,2.4,100A,Fremont,South Mountain,X,In CSV For Import,Not in Floor Plan
A019485,BN0022670,000B8681DDD2,10.151.135.72,slo-rw109-100k-2,5,100K,Fremont,South Mountain,X,In CSV For Import,
A019486,BN0021026,000B8681BDB6,10.151.135.73,slo-rw109-100k-3,2.4,100K,Fremont,South Mountain,Y,In CSV For Import,
A017846,BN0013238,000B8681259A,10.151.156.11,slo-rw170c-c709-l,5,C709L,Hollister,Cerro Vista,W,Port Added,
A017959,BN0014375,000B86813BCF,10.151.138.13,slo-rw113-011o-1,5,1O,Tower 1,Sierra Madre,W,Port Added,
A018123,BN0014478,000B86813DD2,10.151.142.13,slo-rw113-051o-1,5,1O,Tower 5,Sierra Madre,W,Port Added,
A019447,BN0047707,000B869D462B,10.151.136.68,slo-rw110-100a-2,2.4,100A,Tenaya,South Mountain,X,Port Added,
A019451,BN0047615,000B869D445F,10.151.136.72,slo-rw110-100k-2,5,100K,Tenaya,South Mountain,X,Port Added,
A019452,BN0047611,000B869D444B,10.151.136.73,slo-rw110-100k-3,2.4,100K,Tenaya,South Mountain,Y,Port Added,
A017285,BN0013883,000B86813233,10.151.165.62,slo-rw171c-c333-lg,2.4,C333,Corralitos,Poly Canyon Village,W,Spreadsheet Amended,Changed room name from C333LG to C333
A017295,BN0013490,000B86812A86,10.151.164.51,slo-rw171c-c404-b,2.4,C404B,Corralitos,Poly Canyon Village,W,Spreadsheet Amended,
A017338,BN0014044,000B86813558,10.151.165.84,slo-rw171c-c433-lg,2.4,C433,Corralitos,Poly Canyon Village,W,Spreadsheet Amended,Changed room name from C433LG to C433
A018362,BN0017787,000B86817E73,10.151.128.25,slo-rw104-007-1,5,07,Lassen,North Mountain,W,Spreadsheet Amended,"Room must be 2 digits, e.g. ""01"""
