community,building,room,switch_ip,switch_name,jack,blade,port,vlan,notes
Poly Canyon Village,Gypsum,G125,207.62.169.82,d171g-322-1,W,1,21,1,Done (Laundry)
Poly Canyon Village,Corralitos,C130,207.62.169.76,d171c-332-1,W,1,32,1,Done (Laundry)
Poly Canyon Village,Corralitos,C231,207.62.169.76,d171c-332-1,W,1,33,1,Done (Study)
Poly Canyon Village,Corralitos,C233,207.62.169.76,d171c-332-1,W,1,35,1,Done (Lounge)
Poly Canyon Village,Corralitos,C331,207.62.169.76,d171c-332-1,W,1,37,1,Done (Study)
Poly Canyon Village,Corralitos,C337,207.62.169.77,d171c-338-1,W,1,17,1,Done (Study)
Poly Canyon Village,Corralitos,C431,207.62.169.76,d171c-332-1,W,1,41,1,Done (Study)
Poly Canyon Village,Corralitos,C437,207.62.169.77,d171c-338-1,W,1,16,1,Done (Study)
Poly Canyon Village,Corralitos,C531,207.62.169.76,d171c-332-1,W,1,45,1,Done (Study)
Poly Canyon Village,Corralitos,C533,207.62.169.76,d171c-332-1,W,1,47,1,Done (Study)
Poly Canyon Village,Corralitos,C537,207.62.169.77,d171c-338-1,W,1,15,1,Done (Study)
Poly Canyon Village,Huasna,H539,207.62.169.86,d171h-531-1,W,1,13,1,Done (Study)
Poly Canyon Village,Estrella,E029,207.62.169.79,d171e-318-1,W,2,2,1,Done (Laundry)
Poly Canyon Village,Estrella,E119,207.62.169.79,d171e-318-1,W,2,3,1,Done (Study)
Poly Canyon Village,Estrella,E219,207.62.169.79,d171e-318-1,W,2,5,1,Done (Study)
Poly Canyon Village,Estrella,E319,207.62.169.79,d171e-318-1,W,2,7,1,Done (Study)
Poly Canyon Village,Estrella,E419,207.62.169.79,d171e-318-1,W,2,9,1,Done (Study)
Poly Canyon Village,Estrella,E519,207.62.169.79,d171e-318-1,W,2,11,1,Done (Study)
Poly Canyon Village,Foxen,F010L,207.62.169.81,d171f-214-1,W,2,15,1,
Poly Canyon Village,Foxen,F010B,207.62.169.81,d171f-214-1,W,2,12,1,
Poly Canyon Village,Foxen,F010D,207.62.169.81,d171f-214-1,W,2,14,1,
Poly Canyon Village,Foxen,F011B,207.62.169.81,d171f-214-1,W,2,17,1,
Poly Canyon Village,Foxen,F011C,207.62.169.81,d171f-214-1,W,2,18,1,
Poly Canyon Village,Foxen,F117,207.62.169.81,d171f-214-1,W,2,5,1,
Poly Canyon Village,Foxen,F217,207.62.169.81,d171f-214-1,W,1,19,1,
Poly Canyon Village,Foxen,F317,207.62.169.81,d171f-214-1,W,1,21,1,
Poly Canyon Village,Foxen,F417,207.62.169.81,d171f-214-1,W,1,23,1,
Poly Canyon Village,Buena Vista,B217,207.62.169.73,d171b-316-1,W,1,31,1,
Poly Canyon Village,Buena Vista,B317,207.62.169.73,d171b-316-1,W,1,33,1,
Poly Canyon Village,Buena Vista,B417,207.62.169.73,d171b-316-1,W,1,36,1,
Cerro Vista,Bishop,E101,207.62.169.65,bishop,W,4,43,1,
Cerro Vista,Bishop,E012L,207.62.169.65,bishop,W,1,7,1,
Cerro Vista,Bishop,E012C,207.62.169.65,bishop,W,1,3,1,
Cerro Vista,Morro,A409,207.62.169.67,morro,W,4,3,1,
Sierra Madre,Tower 5,1O,207.62.169.36,smtwr5,W,3,7,1,
Sierra Madre,Tower 1,1O,207.62.169.32,smtwr1,W,3,7,1,
Yosemite,Tower 2,1X,207.62.169.43,YosTwr2,W,2,19,1,
South Mountain,Trinity,236A,207.62.169.21,trinity,W,6,47,1,
South Mountain,Trinity,100A,207.62.169.21,trinity,W,6,46,1,
South Mountain,Trinity,100A,207.62.169.21,trinity,X,6,45,1,
South Mountain,Trinity,100L,207.62.169.21,trinity,W,6,35,1,
South Mountain,Trinity,100K,207.62.169.21,trinity,W,6,44,1,
South Mountain,Trinity,100K,207.62.169.21,trinity,X,6,43,1,
South Mountain,Trinity,100K,207.62.169.21,trinity,Y,6,42,1,
South Mountain,Trinity,100J,207.62.169.21,trinity,W,6,36,1,
North Mountain,Shasta,B1,207.62.169.11,shasta,W,2,46,1,
North Mountain,Diablo,B1,207.62.169.12,diablo,W,2,13,1,
North Mountain,Palomar,B1,207.62.169.13,palomar,W,2,13,1,
North Mountain,Whitney,B1,207.62.169.14,whitney,W,2,13,1,
North Mountain,Lassen,B1,207.62.169.81,lassen,W,3,13,1,
South Mountain,Santa Lucia,100A,207.62.169.22,santalucia,W,6,38,1,
South Mountain,Santa Lucia,100A,207.62.169.22,santalucia,Y,6,39,1,
South Mountain,Santa Lucia,100L,207.62.169.22,santalucia,W,6,46,1,
South Mountain,Santa Lucia,100K,207.62.169.22,santalucia,W,6,40,1,
South Mountain,Santa Lucia,100K,207.62.169.22,santalucia,X,6,41,1,
South Mountain,Santa Lucia,100K,207.62.169.22,santalucia,Y,6,42,1,
South Mountain,Muir,300,207.62.169.23,muir,W,6,29,1,
South Mountain,Muir,100A,207.62.169.23,muir,W,6,47,1,
South Mountain,Muir,100A,207.62.169.23,muir,Y,6,46,1,
South Mountain,Muir,100L,207.62.169.23,muir,W,6,36,1,
South Mountain,Muir,100K,207.62.169.23,muir,W,6,45,1,
South Mountain,Muir,100K,207.62.169.23,muir,X,6,44,1,
South Mountain,Muir,100K,207.62.169.23,muir,Y,6,43,1,
South Mountain,Muir,100J,207.62.169.23,muir,W,6,34,1,
South Mountain,Sequoia,100A,207.62.170.93,Sequoia,W,8,48,1,
South Mountain,Sequoia,100A,207.62.170.93,Sequoia,Y,8,47,1,
South Mountain,Sequoia,100K,207.62.170.93,Sequoia,W,8,46,1,
South Mountain,Sequoia,100K,207.62.170.93,Sequoia,X,8,45,1,
South Mountain,Sequoia,100K,207.62.170.93,Sequoia,Y,8,44,1,
South Mountain,Fremont,235A,207.62.169.25,fremont,W,6,39,1,
South Mountain,Fremont,100A,207.62.169.25,fremont,W,6,43,1,
South Mountain,Fremont,100A,207.62.169.25,fremont,Y,6,45,1,
South Mountain,Fremont,100K,207.62.169.25,fremont,W,6,46,1,
South Mountain,Fremont,100K,207.62.169.25,fremont,X,6,44,1,
South Mountain,Fremont,100K,207.62.169.25,fremont,Y,6,47,1,
South Mountain,Trinity,128L,207.62.169.21,trinity,W,1,34,1,
South Mountain,Trinity,121L,207.62.169.21,trinity,W,1,44,1,
South Mountain,Santa Lucia,128L,207.62.169.22,santalucia,W,1,34,1,
South Mountain,Santa Lucia,121L,207.62.169.22,santalucia,W,1,36,1,
South Mountain,Muir,127L,207.62.169.23,muir,W,1,32,1,
South Mountain,Muir,122L,207.62.169.23,muir,W,1,46,1,
South Mountain,Sequoia,127L,207.62.170.93,Sequoia,W,2,6,1,
South Mountain,Sequoia,122L,207.62.170.93,Sequoia,W,1,45,1,
South Mountain,Fremont,127L,207.62.169.25,fremont,W,1,32,1,
South Mountain,Fremont,122L,207.62.169.25,fremont,W,1,34,1,
Cerro Vista,San Luis,G105,207.62.169.61,commons,W,2,46,1,
Cerro Vista,San Luis,G106,207.62.169.61,commons,W,2,45,1,
Cerro Vista,San Luis,G115,207.62.169.61,commons,W,2,47,1,
Cerro Vista,San Luis,G115D,207.62.169.61,commons,W,2,48,1,,